Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),Data Set 5:Time(s),Data Set 5:Force G(N),,,
,,,,3.74,0.739448547,3.74,-0.012466431,3.74,0.353103638,,,
,,,,3.76,0.689598083,3.76,-0.022850037,3.76,0.438262939,,,
,,,,3.78,0.63974762,3.78,-0.014541626,3.78,0.456962585,,,
,,,,3.8,0.625205994,3.8,-0.020774841,3.8,0.459037781,,,
,,,,3.82,0.589897156,3.82,-0.020774841,3.82,0.461112976,,,
,,,,3.84,0.544197083,3.84,-0.020774841,3.84,0.465270996,,,
,,,,3.86,0.517196655,3.86,-0.018699646,3.86,0.463188171,,,
,,,,3.88,0.527580261,3.88,-0.018699646,3.88,0.459037781,,,
,,,,3.9,0.560813904,3.9,-0.016616821,3.9,0.423728943,,,
,,,,3.92,0.627281189,3.92,-0.020774841,3.92,0.429954529,,,
,,,,3.94,0.695823669,3.94,-0.018699646,3.94,0.434112549,,,
,,,,3.96,0.745674133,3.96,-0.016616821,3.96,0.419570923,,,
,,,,3.98,0.778907776,3.98,-0.016616821,3.98,0.38633728,,,
,,,,4,0.803833008,4,-0.018699646,4,0.363487244,,,
,,,,4.02,0.799682617,4.02,-0.014541626,4.02,0.324028015,,,
,,,,4.04,0.795524597,4.04,-0.020774841,4.04,0.284561157,,,
,,,,4.06,0.787216187,4.06,-0.018699646,4.06,0.220169067,,,
,,,,4.08,0.758140564,4.08,-0.018699646,4.08,0.12046814,,,
,,,,4.1,0.729057312,4.1,-0.027008057,4.1,0.041542053,,,
,,,,4.12,0.7082901,4.12,-0.014541626,4.12,0.008308411,,,
,,,,4.14,0.693748474,4.14,-0.018699646,4.14,-0.006233215,,,
,,,,4.16,0.722831726,4.16,-0.018699646,4.16,-0.018699646,,,
,,,,4.18,0.787216187,4.18,-0.020774841,4.18,-0.020774841,,,
,,,,4.2,0.859916687,4.2,-0.022850037,4.2,-0.014541626,,,
,,,,4.22,0.909767151,4.22,-0.016616821,4.22,-0.014541626,,,
,,,,4.24,0.922233582,4.24,-0.018699646,4.24,-0.020774841,,,
,,,,4.26,0.916000366,4.26,-0.016616821,4.26,-0.018699646,,,
,,,,4.28,0.895225525,4.28,-0.022850037,4.28,-0.020774841,,,
,,,,4.3,0.876533508,4.3,-0.016616821,4.3,-0.008308411,,,
,,,,4.32,0.843299866,4.32,-0.022850037,4.32,-0.006233215,,,
,,,,4.34,0.814224243,4.34,-0.014541626,4.34,-0.012466431,,,
,,,,4.36,0.793449402,4.36,-0.020774841,4.36,-0.016616821,,,
