Time,S3_Pre,S3_T1,S3_T2,S3_T3,S3_T4,S3_T5
4.4,,-0.0166168,0.83707428,1.48097229,-0.018692017,-0.006233215
4.42,,-0.018692,0.729064941,1.377120972,-0.012458801,-0.008308411
4.44,,-0.0207672,0.631439209,0.64389801,-0.008308411,-0.014541626
4.46,,-0.0270004,0.598205566,0.240943909,-0.012458801,-0.010383606
4.48,,-0.02285,0.629364014,0.087234497,-0.004150391,-0.010383606
4.5,,-0.0166168,0.685440063,0.031158447,0.00415802,-0.008308411
4.52,,-0.018692,0.805915833,0.004150391,-0.004150391,-0.010383606
4.54,,-0.018692,0.963775635,-0.00415802,-0.002075195,-0.010383606
4.56,,-0.0249252,1.123710632,-0.002075195,-0.004150391,-0.004150391
4.58,,-0.0207672,1.165252686,-0.006233215,-0.008308411,-0.002075195
4.6,,-0.018692,1.179794312,-0.016616821,-0.004150391,0
4.62,,-0.018692,1.165252686,-0.010383606,-0.004150391,-0.004150391
4.64,,-0.02285,1.109169006,-0.012466431,-0.004150391,-0.006233215
4.66,,-0.0207672,1.063476563,-0.012466431,0.010391235,-0.010383606
4.68,,-0.0207672,0.71244812,-0.014541626,0.002082825,-0.002075195
4.7,,-0.018692,0.577430725,-0.010383606,0.008308411,-0.004150391
4.72,,-0.02285,0.625205994,-0.010383606,0.002082825,-0.004150391
4.74,,-0.0124588,0.679214478,-0.018692017,-0.002075195,-0.006233215
4.76,,-0.0145416,0.726982117,-0.014541626,0.002082825,0
4.78,,-0.0145416,0.753990173,-0.008308411,0.006233215,-0.002075195
4.8,,-0.0207672,0.735290527,-0.008308411,0,0.002075195
4.82,,-0.0166168,0.658439636,-0.012466431,0.00415802,0.006233215
4.84,,-0.018692,0.602355957,-0.012466431,0.006233215,0
4.86,,-0.0145416,0.616897583,-0.018692017,0.006233215,-0.004150391
4.88,,-0.0145416,0.718673706,-0.010383606,0.006233215,-0.002075195
4.9,,-0.0124588,0.84538269,-0.014541626,0.00415802,-0.004150391
4.92,,-0.0124588,0.903541565,-0.014541626,0.002082825,-0.004150391
4.94,,-0.0083084,0.913925171,-0.010383606,0.00415802,-0.004150391
4.96,,-0.0103836,0.895233154,-0.010383606,0.00415802,-0.006233215
4.98,,-0.0020752,0.878616333,-0.006233215,0.002082825,-0.004150391
5,,0,0.89730835,-0.014541626,-0.002075195,-0.008308411
5.02,,-0.0103836,0.936775208,-0.006233215,0.006233215,0.002075195
5.04,,-0.0124588,0.957542419,-0.008308411,0.008308411,0.008308411
5.06,,-0.0041504,0.928466797,-0.00415802,0.010391235,-0.008308411
5.08,,-0.0124588,0.864074707,-0.002075195,0.00415802,0
5.1,,-0.0041504,0.874458313,0.002075195,0,0.002075195
5.12,,-0.0020752,0.888999939,0,-0.002075195,-0.002075195
5.14,,0,0.415420532,-0.002075195,-0.004150391,-0.002075195
5.16,,-0.0103836,0.278327942,0.002075195,0,-0.004150391
5.18,,-0.0103836,0.3177948,0,0.00415802,0.006233215
5.2,,-0.0062332,0.380111694,-0.002075195,0.002082825,0.006233215
5.22,,-0.0083084,0.334411621,-0.002075195,0,0
5.24,,-0.0103836,0.207710266,0,0.00415802,0
5.26,,-0.0083084,0.112159729,-0.002075195,0.012466431,0.002075195
5.28,,-0.0124588,0.149551392,0,0.00415802,0
5.3,,-0.018692,0.301177979,-0.014541626,0.006233215,-0.004150391
5.32,,-0.0103836,0.523429871,-0.008308411,-0.002075195,0.002075195
5.34,,-0.0083084,0.731140137,0.002075195,-0.002075195,-0.002075195
5.36,,-0.0124588,0.922233582,0.006233215,0.002082825,0.006233215
5.38,,-0.0103836,1.109169006,0.002075195,-0.002075195,0.00415802
5.4,,-0.0145416,1.240028381,0.004150391,-0.004150391,-0.002075195
5.42,,-0.0062332,1.395812988,0.010383606,-0.002075195,0.00415802
5.44,,-0.0062332,1.595214844,-0.002075195,0.002082825,0
5.46,,-0.0062332,1.821617126,0.004150391,0.002082825,0.002075195
5.48,,0,1.246261597,0,0,0.008308411
5.5,,-0.0041504,0.475654602,-0.002075195,0,0
5.52,,-0.0103836,0.137084961,0.002075195,-0.004150391,-0.004150391
5.54,,-0.0041504,0.018692017,0.002075195,0,0
5.56,,-0.0145416,-0.024925232,0.006233215,0.006233215,0
5.58,,-0.0041504,-0.047775269,0.006233215,0.002082825,-0.002075195
5.6,,-0.0062332,-0.049850464,0.008308411,0,
5.62,,-0.0041504,-0.056083679,0.002075195,-0.004150391,
5.64,,-0.0041504,-0.058158875,0.004150391,0.00415802,
5.66,,-0.0083084,-0.049850464,0.006233215,0.002082825,
5.68,,-0.0083084,-0.058158875,0.004150391,0.002082825,
5.7,,-0.0103836,-0.058158875,-0.002075195,0.008308411,
5.72,,-0.0041504,-0.06023407,0.002075195,0.006233215,
5.74,,-0.0103836,-0.06023407,0.006233215,0.008308411,
5.76,,-0.0083084,-0.066467285,-0.002075195,0.006233215,
5.78,,-0.0103836,-0.062316895,0.004150391,0.006233215,
5.8,,-0.0083084,-0.056083679,-0.002075195,0.002082825,
5.82,,-0.0103836,-0.062316895,0.002075195,0.00415802,
5.84,,-0.0062332,-0.056083679,0,0.010391235,
5.86,,-0.0041504,-0.056083679,0,0.006233215,
5.88,,-0.0124588,-0.06023407,0,0.006233215,
5.9,,-0.0083084,-0.062316895,0.004150391,0.006233215,
5.92,,-0.0062332,-0.056083679,0.008308411,0.002082825,
5.94,,-0.0062332,-0.054008484,0.002075195,0.010391235,
5.96,,-0.0103836,-0.06023407,-0.002075195,0.008308411,
5.98,,-0.0083084,-0.054008484,0.004150391,0.006233215,
6,,-0.0041504,-0.06439209,-0.002075195,0.00415802,
6.02,,-0.0103836,-0.051925659,-0.00415802,0.002082825,
6.04,,-0.0103836,-0.054008484,0,0.00415802,
6.06,,-0.0103836,-0.056083679,0.002075195,0,
6.08,,-0.0062332,-0.058158875,-0.002075195,0.010391235,
6.1,,-0.0041504,-0.06023407,0.002075195,0.006233215,
6.12,,-0.0062332,-0.058158875,0,0.00415802,
6.14,,-0.0083084,-0.051925659,0.002075195,0.006233215,
6.16,,-0.0124588,-0.045700073,0.006233215,0.008308411,
6.18,,-0.0062332,-0.056083679,0.002075195,0.00415802,
6.2,,,-0.051925659,0.004150391,,
6.22,,,-0.058158875,0.004150391,,
6.24,,,-0.043617249,0.006233215,,
6.26,,,-0.045700073,0.002075195,,
6.28,,,-0.054008484,0.004150391,,
6.3,,,-0.049850464,0.006233215,,
6.32,,,-0.045700073,0.002075195,,
6.34,,,-0.045700073,0,,
6.36,,,-0.045700073,0,,
6.38,,,-0.047775269,0.002075195,,
6.4,,,-0.047775269,-0.006233215,,
6.42,,,-0.051925659,0.006233215,,
6.44,,,-0.043617249,0.006233215,,
6.46,,,-0.054008484,0,,
6.48,,,-0.047775269,-0.00415802,,
6.5,,,-0.041542053,0.002075195,,
6.52,,,-0.043617249,0.002075195,,
6.54,,,-0.043617249,0.002075195,,
6.56,,,-0.033233643,-0.00415802,,
6.58,,,-0.041542053,0,,
6.6,,,-0.039466858,,,
6.62,,,-0.039466858,,,
6.64,,,-0.043617249,,,
6.66,,,-0.047775269,,,
6.68,,,-0.051925659,,,
6.7,,,-0.043617249,,,
6.72,,,-0.041542053,,,
6.74,,,-0.039466858,,,
6.76,,,-0.043617249,,,
6.78,,,-0.035308838,,,
6.8,,,-0.047775269,,,
6.82,,,-0.045700073,,,
6.84,,,-0.045700073,,,
6.86,,,-0.047775269,,,
6.88,,,-0.045700073,,,
6.9,,,-0.049850464,,,
6.92,,,-0.043617249,,,
6.94,,,-0.043617249,,,
6.96,,,-0.039466858,,,
6.98,,,-0.043617249,,,
7,,,-0.043617249,,,
7.02,,,-0.043617249,,,
7.04,,,-0.043617249,,,
7.06,,,-0.045700073,,,
7.08,,,-0.037391663,,,
7.1,,,-0.035308838,,,
7.12,,,-0.043617249,,,
7.14,,,-0.033233643,,,
