S1_Pre,S1_T1,S1_T2,S1_T3,S1_T4,S1_T5,S1_T5_V2,S2_Pre,S2_T1,S2_T2,S2_T3,S2_T4,S2_T5,S3_Pre,S3_T1,S3_T2,S3_T3,S3_T4,S3_T5,S4_Pre,S4_T1_V2,S4_T2,S4_T3,S4_T4,S4_T5,Time
0.002075195,-0.016616821,0.002075195,-0.024925232,-0.0103836,-0.054008484,-0.029075623,-0.020774841,-0.027008057,-0.029083252,-0.024925232,-0.024925232,0.006225586,0.525505066,-0.0020752,-0.029083252,0,0.010391235,0,-0.047775269,0.151626587,-0.00415802,0.002082825,0.002082825,0,0.94
0.00415802,-0.018692017,-0.002082825,-0.022842407,0.0124588,-0.056083679,-0.018692017,-0.016616821,-0.029083252,-0.037391663,-0.029075623,-0.033233643,-0.006233215,0.477729797,-0.0083084,-0.037391663,0.002075195,0.006233215,-0.004150391,-0.043617249,0.155784607,0.004150391,-0.004150391,0.006233215,0.008308411,0.96
-0.012458801,-0.012458801,5.55E-17,-0.020767212,0.04777527,-0.049850464,-0.020767212,-0.020774841,-0.029083252,-0.041542053,-0.029075623,-0.031158447,0,0.467346191,-0.0083084,-0.041542053,0.004150391,0.002082825,0,-0.045700073,0.159934998,0,-0.008308411,0.00415802,0.010391235,0.98
-0.008308411,-0.016616821,0.002075195,-0.016616821,0.0851593,-0.045700073,-0.027000427,-0.014541626,-0.033233643,-0.037391663,-0.024925232,-0.033233643,-0.002082825,0.45072937,-0.0041504,-0.037391663,0.002075195,0.006233215,-0.002075195,-0.043617249,0.174476624,-0.00415802,-0.004150391,0.008308411,0.008308411,1
-0.012458801,-0.014541626,-0.00415802,-0.018692017,0.11631775,-0.049850464,-0.033233643,-0.014541626,-0.031158447,-0.039466858,-0.029075623,-0.031158447,0.002075195,0.45072937,-0.0083084,-0.039466858,0,0.006233215,0.002075195,-0.041542053,0.18901825,0,0.002082825,0.014541626,0.008308411,1.02
-0.012458801,-0.014541626,0.002075195,-0.024925232,0.159935,-0.049850464,-0.031158447,-0.020774841,-0.033233643,-0.033233643,-0.029075623,-0.035316467,0.002075195,0.448654175,-0.0041504,-0.033233643,-0.002075195,0,0.00415802,-0.047775269,0.201477051,0.002075195,-0.002075195,0.008308411,0,1.04
-0.016616821,-0.018692017,-0.002082825,-0.016616821,0.18486023,-0.058158875,-0.024925232,-0.014541626,-0.035316467,-0.037391663,-0.029075623,-0.031158447,-0.006233215,0.454879761,-0.0083084,-0.037391663,0.002075195,0.00415802,0,-0.045700073,0.203559875,0.002075195,-0.002075195,0.008308411,0.010391235,1.06
-0.020767212,-0.027000427,0.002075195,-0.022842407,0.20355225,-0.047775269,-0.018692017,-0.016616821,-0.029083252,-0.033233643,-0.029075623,-0.027008057,0,0.452804565,-0.0145416,-0.033233643,0.006233215,0.00415802,0.00415802,-0.037391663,0.222251892,0.006225586,-0.008308411,0.008308411,0.008308411,1.08
-0.020767212,-0.018692017,0.002075195,-0.022842407,0.20978546,-0.058158875,-0.029075623,-0.012466431,-0.024925232,-0.029083252,-0.027000427,-0.035316467,0,0.456962585,-0.0145416,-0.029083252,0.002075195,0.008308411,-0.002075195,-0.045700073,0.230560303,0.006225586,-0.010383606,0.006233215,0.012466431,1.1
-0.016616821,-0.010383606,5.55E-17,-0.024925232,0.20355225,-0.051933289,-0.024925232,-0.014541626,-0.029083252,-0.033233643,-0.031158447,-0.029083252,0.006225586,0.461112976,-0.0124588,-0.033233643,0,0,-0.004150391,-0.045700073,0.230560303,0.010383606,-0.020767212,0.00415802,0.008308411,1.12
-0.020767212,-0.022850037,-0.002082825,-0.029075623,0.16616821,-0.051933289,-0.027000427,-0.012466431,-0.016616821,-0.033233643,-0.031158447,-0.037391663,0.002075195,0.459037781,-0.0020752,-0.033233643,-0.006233215,0,-0.006233215,-0.045700073,0.234710693,0,-0.016616821,0.00415802,0.002082825,1.14
-0.010383606,-0.020767212,-0.008308411,-0.022842407,0.11008453,-0.047775269,-0.016616821,-0.006233215,-0.029083252,-0.039466858,-0.033233643,-0.033233643,0.004150391,0.461112976,-0.0041504,-0.039466858,0.004150391,0,-0.014541626,-0.041542053,0.243019104,-0.002082825,-0.010383606,0.006233215,0.008308411,1.16
-0.020767212,-0.020767212,0.004150391,-0.027000427,0.08308411,-0.051933289,-0.024925232,-0.016616821,-0.020774841,-0.033233643,-0.033233643,-0.037391663,0.006225586,0.471496582,-0.0020752,-0.033233643,-0.002075195,-0.004150391,-0.014541626,-0.037391663,0.255485535,0.008308411,-0.022842407,0.008308411,0.008308411,1.18
-0.022850037,-0.020767212,-0.002082825,-0.029075623,0.07685089,-0.054008484,-0.031158447,-0.014541626,-0.027008057,-0.033233643,-0.031158447,-0.033233643,0.002075195,0.477729797,-0.0083084,-0.033233643,0.004150391,-0.008308411,-0.014541626,-0.035308838,0.265869141,0.039459229,-0.016616821,0.008308411,0.006233215,1.2
-0.020767212,-0.020767212,-0.00415802,-0.022842407,0.11215973,-0.051933289,-0.022850037,-0.018699646,-0.024925232,-0.043617249,-0.029075623,-0.022850037,0,0.483963013,-0.0020752,-0.043617249,0.002075195,-0.006225586,-0.016616821,-0.039466858,0.286643982,0.06023407,-0.020767212,0.010391235,0.008308411,1.22
-0.010383606,-0.024925232,-0.008308411,-0.024925232,0.16824341,-0.041542053,-0.018692017,-0.020774841,-0.024925232,-0.045700073,-0.027000427,-0.029083252,0.008308411,0.494346619,-0.0020752,-0.045700073,0.006233215,-0.008308411,-0.010383606,-0.041542053,0.263793945,0.091392517,-0.024925232,0.010391235,0.010391235,1.24
-0.018692017,-0.018692017,-0.020774841,-0.020767212,0.19940186,-0.037391663,-0.027000427,-0.022850037,-0.027008057,-0.054008484,-0.020767212,-0.033233643,-0.002082825,0.502655029,-0.0062332,-0.054008484,0.004150391,-0.008308411,-0.012458801,-0.039466858,0.245101929,0.118392944,-0.016616821,0.010391235,0.00415802,1.26
-0.012458801,-0.014541626,-0.022850037,-0.022842407,0.19109344,-0.037391663,-0.027000427,-0.014541626,-0.041542053,-0.056083679,-0.033233643,-0.031158447,0.002075195,0.502655029,-0.0062332,-0.056083679,0.004150391,-0.014533997,-0.006233215,-0.037391663,0.249252319,0.151626587,-0.016616821,0.008308411,0.014541626,1.28
-0.016616821,-0.012458801,-0.014541626,-0.018692017,0.15162659,-0.035316467,-0.022850037,-0.012466431,-0.039466858,-0.054008484,-0.033233643,-0.027008057,-0.010391235,0.51512146,-0.0041504,-0.054008484,0.004150391,-0.016616821,0.008308411,-0.035308838,0.263793945,0.195243835,-0.016616821,0.012466431,0.010391235,1.3
-0.018692017,-0.012458801,-0.027008057,-0.018692017,0.09139252,-0.039466858,-0.018692017,-0.016616821,-0.035316467,-0.054008484,-0.024925232,-0.037391663,0,0.531738281,-0.0083084,-0.054008484,0.008308411,-0.022842407,0.002075195,-0.039466858,0.276252747,0.259635925,-0.022842407,0.008308411,0.014541626,1.32
-0.012458801,-0.012458801,-0.022850037,-0.018692017,0.03738403,-0.047775269,-0.024925232,-0.008308411,-0.039466858,-0.06439209,-0.029075623,-0.035316467,0.004150391,0.548355103,-0.0083084,-0.06439209,0.010383606,-0.018692017,-0.002075195,0.004150391,0.290794373,0.315719604,-0.018692017,0.014541626,0.014541626,1.34
-0.024925232,-0.010383606,-0.018699646,-0.018692017,0,-0.043624878,-0.024925232,-0.008308411,-0.035316467,-0.06439209,-0.033233643,-0.037391663,0.004150391,0.573280334,-0.0083084,-0.06439209,0.004150391,-0.022842407,-0.004150391,0.097625732,0.307411194,0.340644836,-0.024925232,0.006233215,0.027008057,1.36
-0.016616821,-0.008308411,-0.022850037,-0.022842407,-0.0020752,-0.041542053,-0.027000427,-0.010391235,-0.035316467,-0.06023407,-0.027000427,-0.033233643,0.002075195,0.618972778,-0.0062332,-0.06023407,-0.002075195,-0.020767212,-0.004150391,0.178627014,0.3177948,0.344795227,-0.020767212,0.008308411,0.110092163,1.38
-0.012458801,-0.012458801,-0.031158447,-0.020767212,0.00623322,-0.033233643,-0.024925232,-0.012466431,-0.039466858,-0.06439209,-0.027000427,-0.037391663,0.008308411,0.670898438,-0.0083084,-0.06439209,0,-0.020767212,0,0.25756073,0.336494446,0.371795654,-0.020767212,0.010391235,0.191093445,1.4
-0.016616821,-0.008308411,-0.018699646,-0.020767212,0.03738403,-0.045700073,-0.027000427,-0.014541626,-0.039466858,-0.06439209,-0.027000427,-0.035316467,0.006225586,0.706214905,-0.0103836,-0.06439209,0,-0.027000427,-0.004150391,0.282485962,0.351028442,0.427879333,-0.016616821,0.010391235,0.224327087,1.42
