Time,S1_Pre,S1_T1,S1_T2,S1_T3,S1_T4,S1_T5,S1_T5_2
3.94,0.359336853,0.706214905,0.006225586,0.037391663,0.21394348,-0.035316467,0.760223389
3.96,0.353111267,0.691673279,0.002075195,0.037391663,0.24094391,-0.043624878,0.783065796
3.98,0.315719604,0.691673279,0.008308411,0.033233643,0.22847748,-0.041542053,0.812149048
4,0.282485962,0.687522888,0.008308411,0.033233643,0.21601868,-0.043624878,0.828765869
4.02,0.224327087,0.677139282,0.006225586,0.033233643,0.20978546,-0.047775269,0.84538269
4.04,0.182785034,0.662597656,5.55E-17,0.037391663,0.21186066,-0.047775269,0.853691101
4.06,0.143318176,0.650131226,5.55E-17,0.041542053,0.22225189,-0.039466858,0.874458313
4.08,0.118392944,0.635597229,5.55E-17,0.039466858,0.2430191,-0.035316467,0.89730835
4.1,0.097625732,0.610671997,0.008308411,0.049850464,0.28871918,-0.037391663,0.911849976
4.12,0.095550537,0.569129944,5.55E-17,0.058158875,0.40918732,-0.037391663,0.938850403
4.14,0.089317322,0.521354675,0.002075195,0.074775696,0.51719666,-0.039466858,0.967933655
4.16,0.101776123,0.481887817,0.004150391,0.085166931,0.59197235,-0.045700073,0.984550476
4.18,0.103858948,0.477737427,5.55E-17,0.093475342,0.6355896,-0.041542053,0.994934082
4.2,0.089317322,0.486045837,0.002075195,0.091392517,0.66467285,-0.047775269,0.974159241
4.22,0.078933716,0.492271423,0.004150391,0.081008911,0.68336487,-0.043624878,0.982467651
4.24,0.070625305,0.492271423,0.002075195,0.085166931,0.7103653,-0.037391663,1.003242493
4.26,0.076850891,0.477737427,0.010383606,0.108009338,0.74775696,-0.043624878,1.003242493
4.28,0.091392517,0.456962585,0.008308411,0.145401001,0.78929901,-0.041542053,0.984550476
4.3,0.087242126,0.413345337,0.006225586,0.168251038,0.83291626,-0.047775269,0.986625671
4.32,0.083084106,0.375953674,0.002075195,0.20148468,0.86199951,-0.041542053,0.980392456
4.34,0.089317322,0.338569641,5.55E-17,0.240943909,0.88069153,-0.041542053,0.951316833
4.36,0.126701355,0.290794373,0.006225586,0.301185608,0.89938354,-0.035316467,0.878616333
4.38,0.180709839,0.272102356,0.002075195,0.371803284,0.92638397,-0.041542053,0.812149048
4.4,0.230560303,0.253410339,0.004150391,0.442428589,0.93054199,-0.037391663,0.743606567
4.42,0.276252747,0.294952393,0.004150391,0.481887817,0.95961761,-0.043624878,0.664672852
4.44,0.307411194,0.311569214,5.55E-17,0.51512146,0.96170044,-0.043624878,0.573280334
4.46,0.32195282,0.319877625,0.008308411,0.537971497,0.98454285,-0.039466858,0.490196228
4.48,0.338569641,0.313644409,5.55E-17,0.558746338,1.0115509,-0.037391663,0.417495728
4.5,0.365570068,0.305335999,0.002075195,0.573280334,1.04685974,-0.037391663,0.365570068
4.52,0.39465332,0.276252747,0.004150391,0.59197998,0.92223358,-0.043624878,0.290794373
4.54,0.434112549,0.247177124,0.008308411,0.602363586,0.4029541,-0.039466858,0.213943481
4.56,0.471504211,0.211868286,0.004150391,0.616905212,0.14124298,-0.039466858,0.172401428
4.58,0.492271423,0.141242981,0.004150391,0.616905212,0.03530884,-0.041542053,0.157859802
4.6,0.506813049,0.083084106,0.002075195,0.610671997,0.00623322,-0.043624878,0.13709259
4.62,0.542121887,0.041542053,0.004150391,0.594055176,-0.0103836,-0.041542053,0.126701355
4.64,0.596130371,0.010383606,0.004150391,0.560821533,-0.018692,-0.041542053,0.149551392
4.66,0.668830872,-0.010383606,0.004150391,0.508895874,-0.0270004,-0.037391663,0.159934998
4.68,0.735298157,-0.016616821,0.004150391,0.463195801,-0.0249252,-0.041542053,0.141242981
