Time,S4_Pre,S4_T1_V2,S4_T2,S4_T3,S4_T4,S4_T5
4.02,-0.031158447,0.010383606,0,0.876541138,0.888999939,0.00415802
4.04,-0.039466858,0.012466431,0.006225586,0.874465942,0.920158386,0.006233215
4.06,-0.041542053,0.008308411,0,0.878616333,0.965858459,-0.002075195
4.08,-0.041542053,0.00415802,0.008308411,0.878616333,1.005317688,0.006233215
4.1,-0.043617249,0.002075195,0.002075195,0.878616333,1.044784546,0.002082825
4.12,-0.043617249,0.00415802,0.002075195,0.880691528,1.10710144,0.008308411
4.14,-0.039466858,0.008308411,0.006225586,0.880691528,1.169410706,0
4.16,-0.039466858,0.008308411,0.008308411,0.89730835,1.233802795,0.006233215
4.18,-0.039466858,0.002075195,0.002075195,0.907699585,1.294036865,0.008308411
4.2,-0.041542053,0.006233215,0.008308411,0.903541565,1.375045776,0.008308411
4.22,-0.039466858,0.008308411,0.008308411,0.911849976,1.472671509,0.002082825
4.24,-0.035308838,0.006233215,0.006225586,0.938850403,1.528747559,0.00415802
4.26,-0.033233643,0.008308411,0,0.976242065,0.780990601,0.006233215
4.28,-0.033233643,0,0.008308411,1.038551331,0.307411194,0.010391235
4.3,-0.039466858,0,0.014533997,1.092559814,0.112167358,0.014541626
4.32,-0.035308838,0.010383606,0.006225586,1.140335083,0.047775269,0.008308411
4.34,-0.039466858,0.006233215,0.006225586,1.181877136,0.027008057,0.002082825
4.36,-0.043617249,0.008308411,0.002075195,1.210952759,0.012466431,0.002082825
4.38,-0.035308838,0.006233215,0.006225586,1.2317276,0.006233215,0.006233215
4.4,-0.035308838,0.006233215,0.010383606,1.248344421,0.008308411,
4.42,-0.035308838,0.006233215,0.010383606,1.262878418,0.008308411,
4.44,-0.033233643,0.002075195,0.014533997,1.29196167,0.008308411,
4.46,-0.035308838,0.00415802,0.008308411,1.333503723,0.00415802,
4.48,-0.043617249,0.006233215,0.006225586,1.36466217,0.006233215,
4.5,-0.047775269,0.002075195,0.014533997,1.402046204,0.006233215,
4.52,-0.045700073,0.00415802,0.004150391,1.441513062,-0.002075195,
4.54,-0.045700073,0.00415802,0.006225586,1.487205505,0.002082825,
4.56,-0.035308838,0.002075195,0.006225586,1.524597168,0.002082825,
4.58,-0.039466858,-0.004150391,0.010383606,1.572372437,-0.002075195,
4.6,-0.043617249,0.006233215,0.010383606,1.632606506,0.002082825,
4.62,-0.037391663,0.00415802,0.004150391,1.692840576,0.002082825,
4.64,-0.041542053,0.006233215,0.006225586,1.750999451,0,
4.66,-0.037391663,0.010383606,-0.00415802,1.144485474,0.002082825,
4.68,-0.035308838,0.00415802,-0.00415802,0.456962585,0.010391235,
4.7,-0.033233643,0.014541626,-0.002082825,0.151634216,0,
4.72,-0.043617249,0.008308411,0.002075195,0.047775269,-0.002075195,
4.74,-0.035308838,0.00415802,0.006225586,-0.002075195,0,
4.76,-0.037391663,-0.002075195,0.008308411,-0.006225586,0.006233215,
4.78,-0.039466858,0.008308411,0.012458801,-0.010383606,0.00415802,
4.8,-0.043617249,0.008308411,,-0.016616821,0,
4.82,-0.035308838,0.00415802,,-0.020767212,0.008308411,
4.84,-0.047775269,0.002075195,,-0.022842407,0.006233215,
4.86,-0.039466858,0.00415802,,-0.020767212,0.006233215,
4.88,-0.033233643,0.002075195,,-0.022842407,0.002082825,
4.9,-0.027000427,0.008308411,,-0.020767212,0,
4.92,-0.027000427,0.008308411,,-0.027000427,0.002082825,
