Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),Data Set 5:Time(s),Data Set 5:Force G(N),Data Set 6:Time(s),Data Set 6:Force G(N)
,,2.6600000000000001,0,2.6600000000000001,-0.0124664306640625,2.6600000000000001,-0.01038360595703125,2.6600000000000001,-0.03739166259765625,2.6600000000000001,-0.031158447265625
,,2.6800000000000002,-0.00208282470703125,2.6800000000000002,-0.00830841064453125,2.6800000000000002,-0.00623321533203125,2.6800000000000002,-0.03739166259765625,2.6800000000000002,-0.02907562255859375
,,2.7000000000000002,0.0062255859375,2.7000000000000002,-0.00415802001953125,2.7000000000000002,-0.01038360595703125,2.7000000000000002,-0.03946685791015625,2.7000000000000002,-0.02700042724609375
,,2.7200000000000002,0.004150390625,2.7200000000000002,-0.00830841064453125,2.7200000000000002,-0.00623321533203125,2.7200000000000002,-0.03946685791015625,2.7200000000000002,-0.0207672119140625
,,2.7400000000000002,-0.00415802001953125,2.7400000000000002,-0.0103912353515625,2.7400000000000002,-0.01038360595703125,2.7400000000000002,-0.04154205322265625,2.7400000000000002,0.035308837890625
,,2.7599999999999998,0.0020751953125,2.7599999999999998,-0.0103912353515625,2.7599999999999998,-0.00830841064453125,2.7599999999999998,-0.0436248779296875,2.7599999999999998,-0.02700042724609375
,,2.7799999999999998,0.0020751953125,2.7799999999999998,-0.00623321533203125,2.7799999999999998,-0.00623321533203125,2.7799999999999998,-0.03739166259765625,2.7799999999999998,-0.02907562255859375
,,2.7999999999999998,0,2.7999999999999998,-0.00415802001953125,2.7999999999999998,0,2.7999999999999998,-0.04154205322265625,2.7999999999999998,-0.01245880126953125
,,2.8199999999999998,0,2.8199999999999998,-0.00208282470703125,2.8199999999999998,-0.00415802001953125,2.8199999999999998,-0.03739166259765625,2.8199999999999998,-0.0207672119140625
,,2.8399999999999999,-0.00623321533203125,2.8399999999999999,-0.00623321533203125,2.8399999999999999,-0.00623321533203125,2.8399999999999999,-0.03739166259765625,2.8399999999999999,-0.01245880126953125
,,2.8599999999999999,-0.00208282470703125,2.8599999999999999,-0.0124664306640625,2.8599999999999999,0,2.8599999999999999,-0.03531646728515625,2.8599999999999999,-0.0166168212890625
,,2.8799999999999999,-0.00208282470703125,2.8799999999999999,-0.0103912353515625,2.8799999999999999,-0.00623321533203125,2.8799999999999999,-0.03739166259765625,2.8799999999999999,-0.0145416259765625
,,2.8999999999999999,0.0020751953125,2.8999999999999999,-0.0103912353515625,2.8999999999999999,-0.0020751953125,2.8999999999999999,-0.03739166259765625,2.8999999999999999,-0.0145416259765625
,,2.9199999999999999,-0.00208282470703125,2.9199999999999999,-0.00830841064453125,2.9199999999999999,-0.00623321533203125,2.9199999999999999,-0.03946685791015625,2.9199999999999999,0.04154205322265625
,,2.9399999999999999,-0.00208282470703125,2.9399999999999999,-0.00623321533203125,2.9399999999999999,-0.00415802001953125,2.9399999999999999,-0.04154205322265625,2.9399999999999999,0.11008453369140625
